anscombe_groups,x,y
g1,10,8.04
g1,8,6.95
g1,13,7.58
g1,9,8.81
g1,11,8.33
g1,14,9.96
g1,6,7.24
g1,4,4.26
g1,12,10.84
g1,7,4.82
g1,5,5.68
g2,10,9.14
g2,8,8.14
g2,13,8.74
g2,9,8.77
g2,11,9.26
g2,14,8.1
g2,6,6.13
g2,4,3.1
g2,12,9.13
g2,7,7.26
g2,5,4.74
g3,10,7.46
g3,8,6.77
g3,13,12.74
g3,9,7.11
g3,11,7.81
g3,14,8.84
g3,6,6.08
g3,4,5.39
g3,12,8.15
g3,7,6.42
g3,5,5.73
g4,8,6.58
g4,8,5.76
g4,8,7.71
g4,8,8.84
g4,8,8.47
g4,8,7.04
g4,8,5.25
g4,19,12.5
g4,8,5.56
g4,8,7.91
g4,8,6.89